 "Board name and version #:"  "Proto Review" "Group Review"
 "Reviewed by:"   
Schematic    
Frame:    
 "Does the frame have the proper CC attribution? (Frame- Letter/Ledger, CC 4.0)"  "MH" 
 "Is the frame large enough to fit all the parts within it?"  "MH" 
General:    
 "Is there a SparkFun Logo?"  "MH" 
 "Is there an OSHW logo?"  "MH" 
 "Is proper attribution given to the original designer?"  "MH" 
 "Is “Revised by:” included?"  "NA" 
  "Is the reviser name included?" "NA" 
 "Do all nets use flag indicators?"  "MH" 
 "Are all net lines 0.006”?"  "MH" 
 "Are there any 4-way junctions?"  "MH" 
 "Are junction dots used for all 3-wire connections?"  "MH" 
 "Are the fiducials in the lower right corner?"  "MH" 
 "Are the standoffs in the lower right corner?"  "MH" 
 "Are dashed grey lines (symbol layer) used to clearly separate different areas?"  "MH" 
 "Is the version number correct?"  "MH" 
  "Is this included on all sheets?" "MH" 
 "Do all GND connections use the GND symbol?"  "MH" 
 "Are all GND symbols oriented correctly?"  "MH" 
 "Do all VCC connections use the VCC symbol?"  "MH" 
 "Are all VCC connections oriented correctly?"  "MH" 
 "Is the VCC range clearly labeled?"  "MH" 
 "Do any part names have “$” in them?"  "MH" 
 "Do any part names have “/.~” in them? (Multiple sheets)"  "MH" 
 "Are any jumpers labeled clearly by their function and possible settings?"  "MH" 
 "Are any appropriate warnings (voltage conversion, sensitive I/O) labeled?"  "MH" 
 "Is the I2C address in the schematic?"  "NA" 
 "Are any notes of two versions of the board in the schematic (3.3V regulator vs 5V regulator)?"  "NA" 
 "Are all components named correctly (proper prefix)?"  "MH" 
* "Does every component have a PROD_ID?"  "MH" 
* "Does every component have a VALUE?"  "MH" 
 "Do all symbols have >Name on Names layer?"  "MH" 
 "Do all symbols have >Value on Values layer?"  "MH" 
    
    
"PCB "    
    
Mechanical:    
 "Is board frame 0.008”?"  "MH" 
 "Are 0.1” headers lined up on 0.1” grid?"  "MH" 
  "Are opposing 0.1” headers spaced to fit into a breadboard?" "MH" 
 "Are all test points on a 0.1” grid?"  "MH" 
 "Does the board have standoffs?"  "MH" 
  "Can standoffs/screws be used clear of other parts?" "MH" 
 "IS the FTDI connector accessible (can you slide an FTDI board onto the connector)?"  "NA" 
  "Is the FTDI connector oriented so the FTDI breakout can be slid on properly (IC side up, header side down)?" "NA" 
 "With all layers on, are vias tented correctly?"  "MH" 
 "Are corners rounded correctly?"  "MH" 
 "Are all components that hang over the board edge on the same side of the board?"  "MH" 
 "Are dimension lines properly spaced for V-scoring (lines on a 0.020” center-to-center spacing)?"  "MH" 
 "Does this board adhere to the standard manufacturing process? (Kitting time, glue curing, humidor time, etc.)"  "MH" 
    
Layout:    
 "Are 0603 components the 'correct' component footprint?"  "MH" 
 "Are traces 0.01”?"  "MH" 
*  "If they must be smaller, are they at least 0.006”?" "MH" 
* "Is there at least 0.006” between traces?"  "MH" 
 "Are vias 0.02”?"  "MH" 
*  "If they must be smaller, are they at least 0.01”?" "MH" 
  "If it's for soldering,is it actually a 1-pin header so it's reflected on the schematic?" "MH" 
 "Does the board use I2C?"  "MH" 
  "Is it the standard I2C footprint?"  
  "Pull-up resistor isolation jumper present?"  
 "Are all PTH components selective solder compatible?"  "MH" 
 "Are all PTH components for selective soldering populated on the same side?"  "MH" 
 "Are traces to SMT components limited to 1 pin per incoming trace?"  "MH" 
 "Are there no natural bridges on SMT components?"  "MH" 
 "Do SMT components with 6 or more leads have a limited ground pour underneath the IC?"  "MH" 
 "Do any BGA components have 16 or less leads? "  "NA" 
